prod_id,bought_with_id,order_id,date_listed,name,class,category,price,page_views,description
72,,,10/05/2017,ByteBarn RAM,RAM,Computer Parts,90,5820,This is the best RAM you will find.
73,190,72,07/17/2016,DigitalDreams Charger,Charger,Accessories,63,8952,Alan Turing would buy this Charger.
74,,29,11/28/2015,LaptopLads Speakers,Speakers,Accessories,171,2854,Alan Turing would buy this Speakers.
75,,,10/30/2022,LogicLane Graphics Card,Graphics Card,Computer Parts,1220,9562,This is the Graphics Card for you.
76,26,5,08/12/2018,CyberCorner Laptop Computer,Laptop Computer,Prebuilt,892,6348,Alan Turing would buy this Laptop Computer.
77,66,,02/07/2020,CyberCorner Speakers,Speakers,Accessories,259,1908,This is the Speakers for you.
78,,94,04/19/2016,LaptopLads Charger,Charger,Accessories,32,5477,Alan Turing would buy this Charger.
79,,,04/10/2023,CircuitCity Charger,Charger,Accessories,72,4934,There is no Charger more priceworthy.
80,183,1,05/26/2017,DigitalDreams Monitor,Monitor,Accessories,537,7956,This is the Monitor for you.
81,,90,04/08/2019,LaptopLads Laptop Computer,Laptop Computer,Prebuilt,1419,2308,There is no Laptop Computer more priceworthy.
82,78,,10/27/2015,LogicLane CPU,CPU,Computer Parts,914,324,This is the best CPU you will find.
83,33,,04/02/2019,CyberCorner Monitor,Monitor,Accessories,538,8980,This is the best Monitor you will find.
84,,172,11/19/2015,LogicLane Desktop Computer,Desktop Computer,Prebuilt,2548,6640,This is the best Desktop Computer you will find.
85,,184,10/09/2015,CyberCorner Speakers,Speakers,Accessories,106,1388,There is no Speakers more priceworthy.
86,,96,01/27/2018,LaptopLads Speakers,Speakers,Accessories,142,7975,There is no Speakers more priceworthy.
87,,180,12/25/2016,CircuitCity Graphics Card,Graphics Card,Computer Parts,470,7141,Alan Turing would buy this Graphics Card.
88,,,04/25/2022,TechTerritory RAM,RAM,Computer Parts,146,4822,This is the RAM for you.
89,,169,03/23/2019,CyberCorner CPU,CPU,Computer Parts,258,7593,This is the best CPU you will find.
90,27,179,10/19/2019,LogicLane RAM,RAM,Computer Parts,52,1662,This is the RAM for you.
91,,126,09/29/2017,DesktopDen RAM,RAM,Computer Parts,121,4757,There is no RAM more priceworthy.
92,,134,05/27/2016,DigitalDreams Monitor,Monitor,Accessories,943,5235,There is no Monitor more priceworthy.
93,,148,12/05/2019,ByteBarn Speakers,Speakers,Accessories,66,1497,Alan Turing would buy this Speakers.
94,33,133,08/18/2018,ByteBarn Monitor,Monitor,Accessories,768,9587,This is the best Monitor you will find.
95,127,113,08/09/2016,TechTerritory CPU,CPU,Computer Parts,436,6490,There is no CPU more priceworthy.
96,149,42,05/02/2019,ByteBarn Laptop Computer,Laptop Computer,Prebuilt,1686,2715,There is no Laptop Computer more priceworthy.
97,32,154,03/28/2018,CyberCorner Laptop Computer,Laptop Computer,Prebuilt,1530,6592,This is the Laptop Computer for you.
98,109,,09/14/2016,LogicLane Laptop Computer,Laptop Computer,Prebuilt,1786,9027,There is no Laptop Computer more priceworthy.
99,,69,11/28/2016,DigitalDreams Speakers,Speakers,Accessories,177,3783,This is the best Speakers you will find.
100,3,,02/14/2021,DesktopDen Speakers,Speakers,Accessories,268,1902,There is no Speakers more priceworthy.
101,,2,09/05/2017,LogicLane Charger,Charger,Accessories,66,1863,This is the best Charger you will find.
102,63,,12/11/2022,TechTerritory CPU,CPU,Computer Parts,756,8393,This is the CPU for you.
103,101,133,08/18/2018,ByteBarn Speakers,Speakers,Accessories,296,6823,This is the best Speakers you will find.
104,81,,04/04/2019,LogicLane Graphics Card,Graphics Card,Computer Parts,529,4637,This is the Graphics Card for you.
105,61,129,03/17/2018,CyberCorner Laptop Computer,Laptop Computer,Prebuilt,611,8945,This is the Laptop Computer for you.
106,9,150,10/13/2021,TechTerritory Laptop Computer,Laptop Computer,Prebuilt,1028,4822,This is the best Laptop Computer you will find.
107,,,12/02/2016,LogicLane Charger,Charger,Accessories,92,3229,Alan Turing would buy this Charger.
108,,20,04/27/2021,LogicLane Speakers,Speakers,Accessories,197,4901,This is the Speakers for you.
109,82,,01/19/2019,CircuitCity Desktop Computer,Desktop Computer,Prebuilt,1232,9048,This is the best Desktop Computer you will find.
110,19,,02/14/2019,LogicLane Laptop Computer,Laptop Computer,Prebuilt,1475,1684,This is the best Laptop Computer you will find.
111,140,,03/28/2016,CircuitCity Graphics Card,Graphics Card,Computer Parts,493,2438,Alan Turing would buy this Graphics Card.
112,,50,04/14/2019,DesktopDen CPU,CPU,Computer Parts,258,9021,Alan Turing would buy this CPU.
113,,100,12/24/2019,CyberCorner Desktop Computer,Desktop Computer,Prebuilt,863,8907,Alan Turing would buy this Desktop Computer.
114,91,101,07/01/2021,DesktopDen Speakers,Speakers,Accessories,213,7927,Alan Turing would buy this Speakers.
115,92,166,05/18/2018,DesktopDen Monitor,Monitor,Accessories,185,198,Alan Turing would buy this Monitor.
116,,16,04/09/2022,LogicLane CPU,CPU,Computer Parts,535,9323,There is no CPU more priceworthy.
117,6,195,02/24/2018,TechTerritory CPU,CPU,Computer Parts,147,9504,Alan Turing would buy this CPU.
118,156,,07/15/2021,LaptopLads Desktop Computer,Desktop Computer,Prebuilt,2098,8179,This is the Desktop Computer for you.
119,,8,02/03/2018,CircuitCity Laptop Computer,Laptop Computer,Prebuilt,1068,9060,There is no Laptop Computer more priceworthy.
120,177,,11/10/2018,LogicLane Laptop Computer,Laptop Computer,Prebuilt,1430,1904,This is the best Laptop Computer you will find.
121,116,,08/04/2018,DigitalDreams Desktop Computer,Desktop Computer,Prebuilt,2220,543,This is the best Desktop Computer you will find.
122,155,136,05/28/2017,CircuitCity Desktop Computer,Desktop Computer,Prebuilt,1701,3182,Alan Turing would buy this Desktop Computer.
123,,25,06/10/2020,ByteBarn Graphics Card,Graphics Card,Computer Parts,1210,4235,This is the best Graphics Card you will find.
124,164,88,05/24/2018,ByteBarn RAM,RAM,Computer Parts,177,5775,There is no RAM more priceworthy.
125,90,150,02/06/2022,CircuitCity RAM,RAM,Computer Parts,196,1476,Alan Turing would buy this RAM.
126,68,,07/04/2015,DigitalDreams Graphics Card,Graphics Card,Computer Parts,1164,6035,Alan Turing would buy this Graphics Card.
127,72,73,11/13/2015,TechTerritory Graphics Card,Graphics Card,Computer Parts,402,8337,Alan Turing would buy this Graphics Card.
128,196,,11/22/2016,TechTerritory Charger,Charger,Accessories,59,4396,Alan Turing would buy this Charger.
129,,,05/04/2016,LogicLane Graphics Card,Graphics Card,Computer Parts,383,4974,This is the best Graphics Card you will find.
130,9,53,06/23/2018,ByteBarn Speakers,Speakers,Accessories,77,2093,There is no Speakers more priceworthy.
131,119,11,10/15/2015,CyberCorner CPU,CPU,Computer Parts,241,9409,There is no CPU more priceworthy.
132,29,101,04/27/2021,DigitalDreams RAM,RAM,Computer Parts,178,7719,There is no RAM more priceworthy.
133,,95,12/06/2017,TechTerritory Monitor,Monitor,Accessories,709,4142,There is no Monitor more priceworthy.
134,,,07/21/2022,ByteBarn CPU,CPU,Computer Parts,611,758,There is no CPU more priceworthy.
135,,193,11/26/2016,LogicLane CPU,CPU,Computer Parts,588,6558,This is the CPU for you.
136,,8,07/16/2017,DigitalDreams Desktop Computer,Desktop Computer,Prebuilt,2719,7935,Alan Turing would buy this Desktop Computer.
137,,165,04/02/2017,CircuitCity Desktop Computer,Desktop Computer,Prebuilt,2288,7131,This is the Desktop Computer for you.
138,12,134,10/06/2016,DesktopDen Desktop Computer,Desktop Computer,Prebuilt,2979,3534,This is the best Desktop Computer you will find.
139,,,04/15/2022,LaptopLads CPU,CPU,Computer Parts,832,1229,This is the best CPU you will find.
140,168,15,09/22/2015,ByteBarn CPU,CPU,Computer Parts,398,8592,This is the best CPU you will find.
141,,162,04/06/2016,LaptopLads Desktop Computer,Desktop Computer,Prebuilt,1134,9969,There is no Desktop Computer more priceworthy.
142,,74,10/08/2015,DesktopDen Graphics Card,Graphics Card,Computer Parts,1339,4755,There is no Graphics Card more priceworthy.
143,189,67,11/11/2021,DesktopDen Desktop Computer,Desktop Computer,Prebuilt,2305,6964,Alan Turing would buy this Desktop Computer.
144,,46,05/31/2016,CircuitCity Monitor,Monitor,Accessories,641,9881,Alan Turing would buy this Monitor.
145,,,07/22/2017,LaptopLads RAM,RAM,Computer Parts,126,4981,There is no RAM more priceworthy.
146,141,136,07/30/2019,CircuitCity Laptop Computer,Laptop Computer,Prebuilt,1956,6901,This is the best Laptop Computer you will find.
147,,117,08/09/2019,DigitalDreams Desktop Computer,Desktop Computer,Prebuilt,2909,5377,This is the Desktop Computer for you.
148,69,73,11/13/2015,LogicLane Charger,Charger,Accessories,97,8408,This is the Charger for you.
149,,141,12/22/2017,CircuitCity Speakers,Speakers,Accessories,287,2032,Alan Turing would buy this Speakers.
150,136,166,05/18/2018,CircuitCity Charger,Charger,Accessories,82,2185,This is the best Charger you will find.
151,106,168,11/20/2016,CircuitCity CPU,CPU,Computer Parts,872,4623,Alan Turing would buy this CPU.
152,72,55,03/17/2020,TechTerritory Speakers,Speakers,Accessories,88,9336,This is the Speakers for you.
153,,,06/28/2021,LaptopLads Desktop Computer,Desktop Computer,Prebuilt,2409,1751,This is the best Desktop Computer you will find.
154,,,06/09/2015,LogicLane CPU,CPU,Computer Parts,821,2484,This is the CPU for you.
155,,104,07/25/2016,LaptopLads CPU,CPU,Computer Parts,697,6419,This is the CPU for you.
156,78,194,08/20/2016,DigitalDreams Graphics Card,Graphics Card,Computer Parts,1134,1376,There is no Graphics Card more priceworthy.
157,,92,05/03/2020,CircuitCity Graphics Card,Graphics Card,Computer Parts,574,8580,This is the best Graphics Card you will find.
158,137,176,09/08/2020,LogicLane RAM,RAM,Computer Parts,131,917,Alan Turing would buy this RAM.
159,80,174,11/13/2016,ByteBarn CPU,CPU,Computer Parts,166,574,This is the best CPU you will find.
160,,50,04/14/2019,LogicLane Desktop Computer,Desktop Computer,Prebuilt,523,6941,This is the best Desktop Computer you will find.
161,,,10/25/2016,LogicLane RAM,RAM,Computer Parts,121,61,This is the best RAM you will find.
162,153,26,10/25/2017,DesktopDen Monitor,Monitor,Accessories,473,4699,There is no Monitor more priceworthy.
163,189,160,02/22/2022,DesktopDen CPU,CPU,Computer Parts,792,8981,There is no CPU more priceworthy.
164,,,07/08/2015,DesktopDen CPU,CPU,Computer Parts,185,4364,This is the best CPU you will find.
165,,58,12/06/2021,TechTerritory Graphics Card,Graphics Card,Computer Parts,567,970,Alan Turing would buy this Graphics Card.
166,80,62,12/09/2017,TechTerritory Graphics Card,Graphics Card,Computer Parts,644,604,There is no Graphics Card more priceworthy.
167,121,168,03/27/2019,CyberCorner Graphics Card,Graphics Card,Computer Parts,497,7075,Alan Turing would buy this Graphics Card.
168,89,148,12/05/2019,CircuitCity Speakers,Speakers,Accessories,88,723,There is no Speakers more priceworthy.
169,,119,02/08/2017,CircuitCity RAM,RAM,Computer Parts,176,7319,Alan Turing would buy this RAM.
170,,99,02/05/2020,TechTerritory Monitor,Monitor,Accessories,633,8925,There is no Monitor more priceworthy.
171,68,52,10/01/2020,LaptopLads Graphics Card,Graphics Card,Computer Parts,1179,9114,This is the Graphics Card for you.
172,6,48,06/14/2019,TechTerritory Desktop Computer,Desktop Computer,Prebuilt,508,5068,Alan Turing would buy this Desktop Computer.
173,,139,08/11/2015,DesktopDen Graphics Card,Graphics Card,Computer Parts,1004,3156,This is the Graphics Card for you.
174,,88,02/27/2016,DesktopDen Charger,Charger,Accessories,83,7042,This is the Charger for you.
175,,174,06/09/2019,CyberCorner Graphics Card,Graphics Card,Computer Parts,1049,7993,Alan Turing would buy this Graphics Card.
176,61,147,01/02/2016,LogicLane CPU,CPU,Computer Parts,415,1144,Alan Turing would buy this CPU.
177,181,114,11/28/2016,LogicLane CPU,CPU,Computer Parts,928,4761,Alan Turing would buy this CPU.
178,123,10,05/28/2016,CyberCorner Monitor,Monitor,Accessories,406,7274,Alan Turing would buy this Monitor.
179,,183,01/30/2017,LaptopLads RAM,RAM,Computer Parts,51,2832,This is the best RAM you will find.
180,114,,08/15/2019,DesktopDen Graphics Card,Graphics Card,Computer Parts,717,2179,Alan Turing would buy this Graphics Card.
181,,70,09/29/2015,ByteBarn Laptop Computer,Laptop Computer,Prebuilt,1449,7557,This is the best Laptop Computer you will find.
182,23,58,07/16/2020,DigitalDreams Charger,Charger,Accessories,40,4373,Alan Turing would buy this Charger.
183,42,,09/25/2022,CyberCorner Desktop Computer,Desktop Computer,Prebuilt,1576,450,Alan Turing would buy this Desktop Computer.
184,146,51,06/15/2016,DesktopDen Graphics Card,Graphics Card,Computer Parts,1257,2422,This is the Graphics Card for you.
185,,66,03/30/2018,CircuitCity CPU,CPU,Computer Parts,255,9838,Alan Turing would buy this CPU.
186,,5,08/12/2018,CircuitCity Graphics Card,Graphics Card,Computer Parts,234,4718,Alan Turing would buy this Graphics Card.
187,,150,02/06/2022,CircuitCity Laptop Computer,Laptop Computer,Prebuilt,652,7521,This is the best Laptop Computer you will find.
188,,127,05/20/2015,LogicLane Laptop Computer,Laptop Computer,Prebuilt,760,6164,Alan Turing would buy this Laptop Computer.
189,,185,03/28/2017,LogicLane Laptop Computer,Laptop Computer,Prebuilt,936,7255,This is the Laptop Computer for you.
190,7,166,05/18/2018,ByteBarn Laptop Computer,Laptop Computer,Prebuilt,1446,9665,This is the best Laptop Computer you will find.
191,100,,02/08/2023,DigitalDreams CPU,CPU,Computer Parts,968,5215,This is the CPU for you.
192,154,133,08/18/2018,DigitalDreams Graphics Card,Graphics Card,Computer Parts,819,2242,This is the best Graphics Card you will find.
193,134,151,08/19/2019,ByteBarn Graphics Card,Graphics Card,Computer Parts,1411,8470,This is the best Graphics Card you will find.
194,194,,08/01/2016,LaptopLads Monitor,Monitor,Accessories,212,436,There is no Monitor more priceworthy.
195,,115,08/02/2017,DesktopDen Speakers,Speakers,Accessories,170,5541,There is no Speakers more priceworthy.
196,167,134,10/06/2016,CircuitCity Graphics Card,Graphics Card,Computer Parts,814,5762,Alan Turing would buy this Graphics Card.
197,,200,07/15/2018,CyberCorner RAM,RAM,Computer Parts,91,7726,Alan Turing would buy this RAM.
198,118,14,05/10/2018,LaptopLads Graphics Card,Graphics Card,Computer Parts,1060,848,This is the best Graphics Card you will find.
199,65,,08/17/2019,DesktopDen Laptop Computer,Laptop Computer,Prebuilt,1320,5761,Alan Turing would buy this Laptop Computer.
200,,175,03/25/2015,ByteBarn Desktop Computer,Desktop Computer,Prebuilt,1343,7570,This is the best Desktop Computer you will find.
